Posted Date,Transaction Date,Transaction Type,Check/Serial #,Description,Amount,Daily Posted Balance
02/10/2025,02/10/2025,Debit,,AutoPay Advance Financia 7832 MIGUEL GRILLO ACH MISCELLANEOUS DEBIT,$0,-$120.06
02/12/2025,02/12/2025,Credit,,Abe Garcia PAYMENT ID COF84T6ZMIBA ZELLE PAYMENT FROM,$60,-$60.06
02/14/2025,02/14/2025,Credit,,Abe Garcia PAYMENT ID COFF6RXXT8HX ZELLE PAYMENT FROM,$25,
02/14/2025,02/14/2025,Credit,,PAYROLL AWC INC. 0760 Grillo Miguel ACH CREDIT,$4244.72,
02/14/2025,02/14/2025,Credit,,PAYROLL AWC INC. 0760 Grillo Miguel ACH CREDIT,$108523.02,
02/14/2025,02/14/2025,POS,,APPLE.COM/BILL 02-13 866-712-7753 CA 4739 DEBIT CARD RECURRING PYMT,($36.77),
02/14/2025,02/14/2025,Debit,,Wells Fargo Grillo PAYMENT ID BBT288010904 ZELLE PAYMENT TO,($50),
02/14/2025,02/14/2025,POS,,REPLIT INC. 02-14 REPLIT.COM CA4739 DEBIT CARD RECURRING PYMT,($25),
02/14/2025,02/14/2025,POS,,ERASER.IO 02-14 WWW.ERASER.IO CA4739 DEBIT CARD RECURRING PYMT,($24),
02/14/2025,02/14/2025,Debit,,8335321656 Today Cash - Deb 7617MIGUEL GRILLO ACH DEBIT,($179.81),
02/14/2025,02/14/2025,Debit,,Tim Young PAYMENT ID BBT288191811 ZELLE PAYMENT TO,($250),
02/14/2025,02/14/2025,Debit,,RETRY PYMT OPENAI ST-A0E7R6W1W3A0 INTERNET PAYMENT,($63.84),$112103.26
02/18/2025,02/18/2025,Credit,,02-15-25 HOUSTON TX 4739 CADENCEBANK FOREIGN ATM SURCHARGE REBATE,$3,
02/18/2025,02/18/2025,Credit,,Tim Young PAYMENT ID BBT288388805 ZELLE REVERSAL,$355,
02/18/2025,02/18/2025,ATM,,COINBASE 02-13 https://www.f CA4739 DEBIT CARD MISC DEBIT,($338),
02/18/2025,02/18/2025,POS,,PAYPAL *COINBASEIN 02-14 4029357733 CA 4739 DEBIT CARD PURCHASE,($742.42),
02/18/2025,02/18/2025,POS,,DD *DOORDASH THEFL 02-15 DOORDASH.COM CA 4739 DEBIT CARD PURCHASE,($206.84),
02/18/2025,02/18/2025,POS,,ADVANCE FINANCIAL 02-14 615-341-5900 TN 4739 DEBIT CARD RECURRING PYMT,($472.73),
02/18/2025,02/18/2025,POS,,OFFICE OF WESTHILL 02-14 888-2430014 CO 4739 DEBIT CARD PURCHASE,($887.59),
02/18/2025,02/18/2025,Debit,,02-14-25 VISA DIRECT NY 4739 VENMO* MIGUEL VISA MONEY TRANSFER DEBIT,($600),
02/18/2025,02/18/2025,POS,,LUPE TORTILLA MEXI 02-14 318 STAFFORD TX 4739 DEBIT CARD PURCHASE,($96.37),
02/18/2025,02/18/2025,POS,,IC* INSTACART 02-14 INSTACART.COM CA 4739 DEBIT CARD PURCHASE,($166.07),
02/18/2025,02/18/2025,POS,,WM SUPERC WAL-MART SUP 02-14-25HOUSTON 4739 DEBIT CARD PURCHASE-PIN,($43.17),
02/18/2025,02/18/2025,POS,,CANTEEN 39 02-14 HUNT VALLEY MD4739 DEBIT CARD PURCHASE,($1.6),
02/18/2025,02/18/2025,POS,,CTLP*Canteen Vendi 02-14 CHARLOTTE NC 4739 DEBIT CARD PURCHASE,($2),
02/18/2025,02/18/2025,Debit,,Tim Young PAYMENT ID BBT288304123 ZELLE PAYMENT TO,($750),
02/18/2025,02/18/2025,POS,,UBER *EATS 02-15 HELP.UBER.COM CA 4739 DEBIT CARD PURCHASE,($27.42),
02/18/2025,02/18/2025,Debit,,Tim Young PAYMENT ID BBT288321303 ZELLE PAYMENT TO,($850),
02/18/2025,02/18/2025,POS,,OPENROUTER INC 02-15 OPENROUTER.AI NY 4739 DEBIT CARD PURCHASE,($26.69),
02/18/2025,02/18/2025,POS,,CAPITAL CURRENCY S 02-15 855-8032131 NY 4739 DEBIT CARD PURCHASE,($270.43),
02/18/2025,02/18/2025,POS,,ROYAL CARIBBEAN CR 02-15 800-327-6700 FL 4739 DEBIT CARD PURCHASE,($2000),
02/18/2025,02/18/2025,POS,,CITY OF BELLAIRE U 02-15 713-6638222 TX 4739 DEBIT CARD PURCHASE,($126.85),
02/18/2025,02/18/2025,POS,,AMAZON MKTPL*XC1VB 02-15 Amzn.com/bill WA 4739 DEBIT CARD PURCHASE,($28.12),
02/18/2025,02/18/2025,Debit,,Tim Young PAYMENT ID BBT288388805 ZELLE PAYMENT TO,($355),
02/18/2025,02/18/2025,POS,,02-15-25 NEW YORK NY 4739 JANUARY TECHNOLOGIES IN DEBIT CARD PURCHASE,($182),
02/18/2025,02/18/2025,POS,,SQ *SOAP HAND CAR 02-15 HoustonTX 4739 DEBIT CARD PURCHASE,($173.81),
02/18/2025,02/18/2025,POS,,STARBUCKS STORE 06 02-15 HOUSTONTX 4739 DEBIT CARD PURCHASE,($10.2),
02/18/2025,02/18/2025,ATM,,CADENCE BANK 02-15-25 HOUSTON TX4739 ATM NETWORK CASH WITHDRAWAL,($125),
02/18/2025,02/18/2025,Fee,,02-15-25 HOUSTON TX 4739 CADENCEBANK DEBIT CARD NON-TRUIST ATM FEE,($3),
02/18/2025,02/18/2025,ATM,,CADENCE BANK 02-15-25 HOUSTON TX4739 ATM NETWORK CASH WITHDRAWAL,($105),
02/18/2025,02/18/2025,POS,,POTBELLY #242 02-15 W UNIVERSITYTX 4739 DEBIT CARD PURCHASE,($10.33),
02/18/2025,02/18/2025,POS,,WL *STEAM PURCHASE 02-17 425-889-9642 WA 4739 DEBIT CARD PURCHASE,($3.24),
02/18/2025,02/18/2025,Debit,,02-15-25 VISA DIRECT NY 4739 VENMO* MIGUEL VISA MONEY TRANSFER DEBIT,($500),
02/18/2025,02/18/2025,POS,,CIRCLE K #2740526 02-16-25 HOUSTON TX 4739 DEBIT CARD PURCHASE-PIN,($12.97),
02/18/2025,02/18/2025,POS,,KOLACHE FACTORY - 02-16 HOUSTONTX 4739 DEBIT CARD PURCHASE,($5.5),
02/18/2025,02/18/2025,Debit,,02-16-25 VISA DIRECT NY 4739 VENMO* MIGUEL VISA MONEY TRANSFER DEBIT,($500),
